codigo;abc;tipo;saldo_manut;provid_compras;recebimento_esperado;transito_manut;stage_manut;recepcao_manut;pendente_ri;pecas_teste_kit;pecas_teste;fornecedor_reparo;laboratorio;wr;wrcr;stage_wr;cmm;coef_perda
ROXR-033849;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.17;1
HCKB-398523;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
QOER-084064;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
AOLR-068182;C;20;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0.17;1
WOSR-096625;C;19;18;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0
AARO-020619;C;20;34;0;0;0;0;0;0;8991;0;0;0;0;0;0;0;1
YOLR-082236;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
VEIF-010806;C;20;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
SOMR-054641;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
GSAP-183756;C;20;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
DOVR-026388;C;20;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;1
KOSR-055154;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
GSYP-041628;C;20;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
EOHR-094408;C;10;0;0;0;0;0;0;1;0;0;0;0;25;0;0;0;0
IOUR-004092;C;19;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
POYR-033000;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
VOQR-068996;C;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MOCR-000106;C;20;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
QSGP-011153;C;20;12;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0.09057971
TAKO-000011;C;20;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;1
MQQB-001994;C;20;6;0;0;0;0;0;0;0;0;0;133;0;0;0;0;1
COJR-091125;C;10;7;0;0;0;0;0;0;0;0;0;0;91;0;0;0.17;0
BOOR-063258;C;20;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
GSSP-071602;C;20;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
BOXR-052304;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IOAR-072797;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
TOJR-060280;C;20;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
WOOR-020656;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
VOER-095245;C;19;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ACRB-011747;C;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MSBP-023959;C;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.33;0
COYR-045006;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.84;1
QOVR-082471;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GOGR-034713;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
CSEP-053592;C;20;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
GOLR-064187;C;20;0;0;0;0;0;0;0;127;0;0;0;0;0;0;0;1
ROCR-072063;C;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FOVR-010199;C;20;228;0;0;30;0;0;0;0;0;0;0;0;0;0;0;1
FOAR-068153;B;20;1723;400;0;0;8;0;0;202;0;0;0;157;0;0;5.68;0
YONR-038825;C;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
